"correctly.predicted" "best.vars" "true.positives" "false.neg.sites" "habchar"
"1" "0.90" "fung2 fung3" "0.83" "Tversted_Plantage;Haarup_Sande;Birkemose;Tisvilde_Hegn" "HighForest"
"2" "0.90" "insect3 insect1" "0.78" "Tversted_Plantage;Buderupholm;Groennevej;Haarup_Sande;Birkemose" "HighForest"
"3" "0.82" "eukar1" "0.00" "Tversted_Plantage;Buderupholm;Urskoven;Rold;Lindet;Groennevej;Hestehaven;Haarup_Sande;Knagerne;Vejle_Fjord;Vesterskov;Rand_Skov;Grund_Skov;Stroedam;Birkemose;Tisvilde_Hegn;Allindelille_Fredskov;Suserup_Skov;Broby_Vesterskov;Fuglsang_Storskov;Loegnor;Timesoe_Bjerg;Lindebakker" "HighForest"
"4" "0.89" "plant1 plant2" "0.74" "Tversted_Plantage;Lindet;Haarup_Sande;Vejle_Fjord;Birkemose;Tisvilde_Hegn" "HighForest"
"5" "0.95" "fung2 fung3 fung1" "0.96" "Raspkaer;Maglemose" "Forest"
"6" "0.85" "insect3 insect1 insect2" "0.81" "Raspkaer;Buderupholm;Hoestemark_Sumpskov;Regan_Vest;Filsoevej;Gjessoevej;Ellemose;Skelsnaes;Soeholt;Klinteskov" "Forest"
"7" "0.94" "eukar3 eukar1 eukar2" "0.92" "Raspkaer;Buderupholm;Hoestemark_Sumpskov;Filsoevej" "Forest"
"8" "0.92" "plant1 plant2 plant3" "0.83" "Raspkaer;Toemmerby_Fjord;Kjaergaard_Loevklitter;Gjessoevej;Bjergfald;Maglemose;Ellemose;Skyttegaard;Soeholt" "Forest"
"9" "0.92" "fung1 fung2" "0.64" "Tjenestejorden;Klitvej;Loenne;Broendsted_Faelled;Hegnede_Bakke" "Agriculture"
"10" "0.95" "insect2 insect1 insect4" "0.50" "Kjaersgaard;Uggerby_Skovvej;Tjenestejorden;Soenderbyvej;Klitvej;Loenne;Broendsted_Faelled" "Agriculture"
"11" "0.92" "eukar1 eukar2 eukar3" "0.71" "Klitvej;Loenne;Broendsted_Faelled;Roesnaes" "Agriculture"
"12" "0.98" "plant2 plant3 plant4" "0.93" "Klitvej" "Agriculture"
"13" "0.93" "fung1" "0.00" "Tversted_Plantage;Raspkaer;Damvej;Glatved;Hoejkol;Haarup_Sande;Rand_Skov;Tisvilde_Hegn;Fuglsang_Storskov" "Coniferous"
"14" "0.93" "insect1" "0.00" "Tversted_Plantage;Raspkaer;Damvej;Glatved;Hoejkol;Haarup_Sande;Rand_Skov;Tisvilde_Hegn;Fuglsang_Storskov" "Coniferous"
