"Site_nr" "site_name" "HighForest" "HFclass" "HFpost" "Forest" "Foclass" "Fopost" "Agriculture" "Agclass" "Agpost" "Coniferous" "Beech" "Beclass" "Bepost" "Oak" "Oaclass" "Oapost" "Willow" "Wiclass" "Wipost" "Heathland" "Dwarfshrubs" "DSclass" "DSpost" "Alder" "Alclass" "Alpost" "Phragmites" "Phclass" "Phpost" "Atlantic" "Jutland" "Jyclass" "Jypost"
"1" 1 "Raabjerg_Kirke" 0 1 4.92010414975195e-06 0 1 1.14983478470838e-05 0 1 1.9797235748727e-05 0 0 1 0.0193292010470734 0 1 0.000963855287128238 0 1 2.08589989294565e-43 0 1 2 0.907255466401058 0 1 5.3114898160046e-07 0 1 2.08589989294565e-43 0 1 2 0.889383814109787
"2" 2 "Uggerby_Strand" 0 1 0.00243519493092855 0 1 0.00244815422758172 0 1 2.42651906101107e-19 0 0 1 0.0338719754123928 0 1 4.75609593922594e-10 0 1 6.08803361176892e-11 0 0 1 0.0141480661061592 1 1 0.0988087196223701 1 1 6.08803361176892e-11 0 1 2 0.999027108161834
"3" 3 "Raabjerg_Mile" 0 1 2.42803587583733e-07 0 1 0.0020069115181102 0 1 4.72737069736419e-38 0 0 1 0.000130662292760199 0 1 3.47433327031238e-13 0 1 0.0320202027188435 0 0 1 0.45513634513589 0 2 0.513737979990938 0 1 0.0320202027188435 0 1 2 0.955128815771568
"4" 4 "Kjaersgaard" 0 1 0.000636603217105046 0 1 1.34279231197917e-07 1 2 0.933273724461208 0 0 1 0.135922135854787 0 1 2.01563708706454e-06 0 1 5.2371460410953e-67 0 0 1 0.001691898670096 0 1 2.59228385785392e-08 0 1 5.2371460410953e-67 0 1 1 0.361872208398218
"5" 5 "Vandplasken" 0 1 1.22235914121364e-05 0 1 6.57113633842825e-05 0 1 2.68230312132706e-18 0 0 1 0.0259028336614777 0 1 1.14772883206676e-13 0 1 1.02107348060866e-10 0 0 1 0.182728437521041 0 1 0.141736744565719 1 1 1.02107348060866e-10 0 1 2 0.94515632198047
"6" 6 "Uggerby_Skovvej" 0 1 8.89091690334382e-05 0 1 6.91337824883063e-09 1 2 0.726619784309933 0 0 1 0.0646744451288476 0 1 2.39370261593522e-07 0 1 1.91009746919706e-73 0 0 1 0.00285419944976495 0 1 4.21988770199174e-09 0 1 1.91009746919706e-73 0 1 2 0.571713531890899
"7" 7 "Kjul_Strand" 0 1 0.0112962867894818 0 1 0.0472246058967128 0 1 5.43633373748331e-14 0 0 1 0.108261063743308 0 1 5.58183118057986e-09 0 1 6.31000409324303e-08 0 0 1 0.00163643298854244 0 1 0.393198059206147 1 1 6.31000409324303e-08 0 1 2 0.995842272868878
"8" 8 "Bunken" 0 1 2.91714002773044e-07 0 1 0.000780228963470048 0 1 1.18402766005994e-37 0 0 1 1.8921011036015e-05 0 1 8.7985786281331e-12 0 1 0.000386713847313074 0 1 2 0.782768864007433 0 1 0.177481680057553 1 1 0.000386713847313074 0 1 2 0.982050906330609
"9" 9 "Tversted_Plantage" 1 1 0.122679104730988 1 2 0.997399803081784 0 1 0.000536149205211874 1 0 1 0.110409678943825 0 1 0.179477176783544 0 1 2.914058799371e-06 0 0 1 0.168684492860035 0 1 0.0114062839031268 0 1 2.914058799371e-06 0 1 2 0.775314396311956
"10" 10 "Kaellingdal" 0 1 0.000131754841153855 0 1 6.91481431594539e-07 0 1 0.180682417102968 0 0 1 0.128930294688734 0 1 0.000161015352405089 0 1 3.48734043827114e-62 0 0 1 0.029625189737831 0 1 4.04445423484503e-08 0 1 3.48734043827114e-62 1 1 2 0.543476833282585
