Sample;Site;Replicate
S001;NV001;R1
S002;NV002;R1
S003;NV003;R1
S004;NV004;R1
S005;NV005;R1
S006;NV006;R1
S007;NV007;R1
S008;NV008;R1
S009;NT010;R1
S010;NT011;R1
S011;NT012;R1
S012;NT013;R1
S013;NT014;R1
S014;NT015;R1
S015;NT018;R1
S016;NH019;R1
S017;NH020;R1
S018;NH021;R1
S019;NH024;R1
S020;NH025;R1
S021;NH026;R1
S022;VU027;R1
S023;neg_2;R1
S024;VU028;R1
S025;VU029;R1
S026;VU030;R1
S027;VU031;R1
S028;VU033;R1
S029;VU034;R1
S030;VU035;R1
S031;Blank1;R1
S032;VO036;R1
S033;VO037;R1
S034;VO038;R1
S035;VO039;R1
S036;VO041;R1
S037;VO042;R1
S038;VO043;R1
S039;VD044;R1
S040;NT016;R1
S041;VU032;R1
S042;VO040;R1
S043;Blank2;R1
S044;VD049;R1
S045;VD051;R1
S046;VD052;R1
S047;EM053;R1
S048;EM054;R1
S049;EM055;R1
S050;EM056;R1
S051;EM057;R1
S052;EM058;R1
S053;EM059;R1
S054;neg_7;R1
S055;EM060;R1
S056;EM061;R1
S057;ES062;R1
S058;ES063;R1
S059;ES065;R1
S060;ES066;R1
S061;ES067;R1
S062;ES068;R1
S063;ES069;R1
S064;ES070;R1
S065;EV071;R1
S066;EV072;R1
S067;NV009;R1
S068;NT017;R1
S069;NH022;R1
S070;NH023;R1
S071;VD050;R1
S072;EV073;R1
S073;EV074;R1
S074;EV075;R1
S075;EV076;R1
S076;EV077;R1
S077;EV078;R1
S078;SN079;R1
S079;SN081;R1
S080;SN082;R1
S081;SN083;R1
S082;SN084;R1
S083;SN085;R1
S084;SN086;R1
S085;SN087;R1
S086;VD045;R1
S087;VD046;R1
S088;VD047;R1
S089;VD048;R1
S090;ES064;R1
S091;SN080;R1
S092;SV088;R1
S093;Blank4_1;R1
S094;SV089;R1
S095;SV090;R1
S096;SV091;R1
S097;SV092;R1
S098;SV093;R1
S099;SV094;R1
S100;SV095;R1
S101;SM096;R1
S102;SM097;R1
S103;SM098;R1
S104;SM099;R1
S105;neg_9;R1
S106;SM100;R1
S107;SM101;R1
S108;SM102;R1
S109;SM103;R1
S110;FF105;R1
S111;FF106;R1
S112;FF107;R1
S113;FF108;R1
S114;FF109;R1
S115;FF110;R1
S116;FF111;R1
S117;FF112;R1
S118;FL113;R1
S119;FL114;R1
S120;FL115;R1
S121;FL116;R1
S122;FL117;R1
S123;FL118;R1
S124;FL119;R1
S125;FM121;R1
S126;FM122;R1
S127;FM123;R1
S128;Blank3_2;R1
S129;FM124;R1
S130;FM125;R1
S131;FM126;R1
S132;FM127;R1
S133;SM104;R1
S134;FL120;R1
S135;FM128;R1
S136;FM129;R1
S137;FM130;R1
S138;NV001;R2
S139;NV002;R2
S140;NV003;R2
S141;NV004;R2
S142;NV005;R2
S143;NV006;R2
S144;NV007;R2
S145;NV008;R2
S146;NT010;R2
S147;NT011;R2
S148;NT012;R2
S149;NT013;R2
S150;NT014;R2
S151;NT015;R2
S152;NT016;R2
S153;NT018;R2
S154;NH019;R2
S155;NH020;R2
S156;NH021;R2
S157;NH025;R2
S158;NH026;R2
S159;VU027;R2
S160;neg_2;R2
S161;VU028;R2
S162;VU029;R2
S163;VU030;R2
S164;VU031;R2
S165;VU033;R2
S166;VU034;R2
S167;VU035;R2
S168;Blank1;R2
S169;VO036;R2
S170;VO037;R2
