"Site_nr" "site_name" "region" "cluster" "cluster_name" "stratum" "utm_x" "utm_y" "EIV_L" "EIV_M" "EIV_Ph" "EIV_N" "EIV_S" "bio_stratum" "normalizedz_mean" "plant1" "plant2" "plant3" "plant4" "fung1" "fung2" "fung3" "fung4" "eukar1" "eukar2" "eukar3" "eukar4" "insect1" "insect2" "insect3" "insect4" "HighForest" "Forest" "Agriculture" "Coniferous" "Beech" "Oak" "Willow" "Heathland" "Dwarfshrubs" "Atlantic" "Jutland"
"1" 1 "Raabjerg_Kirke" "Njut" "NV" "Vendsyssel" "EarlyDryPoor" 581439.69 6388139.47 6.997 4.806 3.895 2.488 0.204 "EarlyDryPoor" 0.069845772 -0.4392506973947 -0.484398680325506 -0.436284296980916 0.164786518420187 -0.518196291425633 0.221213108157346 0.529870820890016 -0.198237357140011 -0.847670805971169 -0.235773376499471 0.554601766411121 0.449809146640349 -0.0382882100480269 -0.213298516209848 0.0963696776845902 -0.147393145507199 0 0 0 0 0 0 0 0 1 0 1
"2" 2 "Uggerby_Strand" "Njut" "NV" "Vendsyssel" "EarlyWetRich" 564449.3 6383379.45 6.242 7.807 6.175 4.707 0.59303 "EarlyWetRich" 0.030343571 -0.48543130721976 0.255850989298766 0.458675565686962 -0.37306237381165 0.570464769182668 0.224535507861097 -0.232436371329878 -0.0914110524963125 1.2613979437119 1.18713790771969 0.245624872246403 -0.743580016141298 0.404642586822939 0.269929303008718 -0.212312705397219 -0.135529590520462 0 0 0 0 0 0 0 0 0 0 1
"3" 3 "Raabjerg_Mile" "Njut" "NV" "Vendsyssel" "EarlyWetPoor" 583804.52 6390025.19 5.907 8.689 4.968 2.896 0.22381 "EarlyWetPoor" NA -0.710273713520669 -0.169670365114687 0.831967371739997 0.265823439180277 0.16453319797967 0.639386514731095 -0.419698070441449 -0.392356024982368 0.0662219090618201 1.61094185274454 1.05818083274073 -0.497040484068042 0.268979733514 -0.0329102748527132 0.25319086927138 -0.0436231775457439 0 0 0 0 0 0 0 0 0 0 1
"4" 4 "Kjaersgaard" "Njut" "NV" "Vendsyssel" "Field" 555479.38 6375310.31 6.38 4.889 6.49 6.207 0.20353 "Agricultural" -0.001132781 0.65756218018356 1.01814056146528 -0.221246215229535 0.583626571139828 0.657235363559479 -0.156407546466649 0.500642638993447 0.0471829521401869 1.11547392561592 -0.542093218185841 0.176678461140977 0.73170186583205 -0.319776096466082 0.0630923179266147 0.114419632674749 0.151640629584955 0 0 1 0 0 0 0 0 0 0 1
"5" 5 "Vandplasken" "Njut" "NV" "Vendsyssel" "Hotspot" 552708.44 6375363.04 6.811 7.149 5.763 3.304 0.36269 "EarlyWetRich" -0.001901494 -0.547378736715496 0.416460085613434 0.467880654403916 -0.559001388596331 0.406646533830401 0.546823976905192 -0.198359113450952 0.183887451009896 1.60962123417903 1.51927942557432 0.157305927396993 -0.272642222960868 0.163152126773479 0.312321367159957 0.0981194367486977 -0.0814125523206063 0 0 0 0 0 0 0 0 0 0 1
"6" 6 "Uggerby_Skovvej" "Njut" "NV" "Vendsyssel" "Ley" 564599.65 6382577.45 6.738 4.486 5.563 4.019 0.21804 "Agricultural" 0.003125951 -0.570206027724993 0.487754898501383 -0.464309404294765 0.150945887505623 0.676995588967557 -0.0769259503102505 0.555324593240821 -0.21635852628333 0.828649403997284 -0.596555031100309 0.328441404970402 0.535247266878774 -0.258018564699462 0.0142336707040273 0.271868429637039 -0.171035991266061 0 0 1 0 0 0 0 0 0 0 1
"7" 7 "Kjul_Strand" "Njut" "NV" "Vendsyssel" "MidMoistRich" 563198.46 6383593.72 5.596 7.518 6.158 5.01 0.47444 "EarlyWetRich" 0.448053854 -0.469626314941892 0.219473638316942 0.324201859561498 -0.0954230247995158 0.704408389809164 0.0479877516150122 -0.34097460403838 0.0692232092954435 1.15558172547494 0.44648275826545 -0.238121329731511 -0.3596976050591 0.139227502461869 0.170323713407662 -0.0382643636607492 -0.210738195862258 0 0 0 0 0 0 0 0 0 0 1
"8" 8 "Bunken" "Njut" "NV" "Vendsyssel" "MidWetPoor" 583990.12 6389854.31 6.546 8.624 5.148 3.379 0.24352 "EarlyWetPoor" 0.044652433 -0.358090410710643 -0.267732723113121 0.765456876964223 0.18327049682352 -0.204035022323574 0.711851274439017 -0.257513216752229 -0.493170725349542 -0.372571973286222 0.833615704346352 0.42178635281726 0.145399623115502 0.305678843280399 -0.0470858202566646 0.0927939353761684 -0.0690605000868102 0 0 0 0 0 0 0 0 1 0 1
"9" 9 "Tversted_Plantage" "Njut" "NV" "Vendsyssel" "Plantation" 574170.34 6384472.73 3.692 5.492 3.329 4 0 "LateDryPoor" 10.53934792 0.0702327313966896 -0.621811741847938 -0.758439899034136 0.156835320339403 -0.817243087780007 -0.0994583497090349 -0.0657894410836146 0.114146806383284 -1.52621225519723 -0.460196584008653 -0.199250300425698 -0.335420807648088 0.0067996684997589 -0.259876951188176 -0.0451761381925961 -0.0664477160750715 1 1 0 1 0 0 0 0 0 0 1
"10" 10 "Kaellingdal" "Njut" "NT" "Thy" "EarlyDryRich" 479149.59 6330450.88 6.698 5.021 5.895 3.585 0.35735 "EarlyDryRich" 0.003737001 -0.520402897013495 0.0946702603050942 -0.515464846593045 0.133128423998093 0.300688981503965 -0.0820353477142571 0.540659730075168 0.0548518809448092 0.596299382452364 -1.00200173026938 0.347470995604818 -0.527457973945886 -0.292921129580405 -0.0400424950399361 -0.0354570643206809 -0.198572271059885 0 0 0 0 0 0 0 0 0 1 1
