NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010	NT011	NT012	NT013	NT014	NT015	NT016	NT017	NT018	NH019	NH020	NH021	NH022	NH023	NH024	NH025	NH026	VU027	VU028	VU029	VU030	VU031	VU032	VU033	VU034	VU035	VO036	VO037	VO038	VO039	VO040	VO041	VO042	VO043	VD044	VD045	VD046	VD047	VD048	VD049	VD050	VD051	VD052	EM053	EM054	EM055	EM056	EM057	EM058	EM059	EM060	EM061	ES062	ES063	ES064	ES065	ES066	ES067	ES068	ES069	ES070	EV071	EV072	EV073	EV074	EV075	EV076	EV077	EV078	SN079	SN080	SN081	SN082	SN083	SN084	SN085	SN086	SN087	SV088	SV089	SV090	SV091	SV092	SV093	SV094	SV095	SM096	SM097	SM098	SM099	SM100	SM101	SM102	SM103	SM104	FF105	FF106	FF107	FF108	FF109	FF110	FF111	FF112	FL113	FL114	FL115	FL116	FL117	FL118	FL119	FL120	FM121	FM122	FM123	FM124	FM125	FM126	FM127	FM128	FM129	FM130	OTU_ID	pident	kingdom	phylum	class	order	family	genus	species	alternatives	redundancy
0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7662b06a8daf6a81fcc9ebd2c0f1bfed0f1cc394	100	Viridiplantae	Streptophyta	NA	Fabales	Fabaceae	Anthyllis	Anthyllis vulneraria	Anthyllis vulneraria, 4, 100.000, Anthyllis vulneraria, 5,  99.531, Anthyllis vulneraria, 1,  99.061, Anthyllis vulneraria subsp. boscii, 1,  99.061, Anthyllis vulneraria subsp. weldeniana, 1,  99.061, Anthyllis vulneraria, 1,  98.598, Anthyllis vulneraria subsp. vulneraria, 1,  98.592	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6fdd5260867a05b21505ee4cc5e326868fc00c69	87.215	Viridiplantae	Streptophyta	NA	Ericales	Ericaceae	unmatched	unmatched_Ericaceae_sp	Epigaea repens, 2, 87.215	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ba1d17516376e28f4441525a18fef9575e161724	99.134	Viridiplantae	Streptophyta	NA	Geraniales	Geraniaceae	Erodium	Erodium lebelii	Erodium lebelii, 4, 99.134, Erodium cicutarium, 2, 99.134, Erodium cicutarium, 2, 98.701, Erodium rupicola, 1, 98.701, Erodium moschatum, 5, 98.268, Erodium cicutarium, 2, 98.268, Erodium tordilioides, 2, 98.268, Erodium mouretii, 1, 98.268, Erodium recoderi, 1, 98.268, Erodium rupicola, 1, 98.268, Erodium touchyanum, 1, 98.268, Erodium acaule, 1, 97.835, Erodium cicutarium, 1, 97.835, Erodium sebaceum, 1, 97.817, Erodium recoderi, 1, 97.403	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4da7da0d1c165e64d653d6680e066594f775ed3b	94.144	Viridiplantae	Streptophyta	NA	Dipsacales	Caprifoliaceae	Lonicera	unmatched_Lonicera_sp	Lonicera etrusca, 1, 94.144	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552d2989ae26b219fd66f518ef01385d1f01e511	99.528	Viridiplantae	Streptophyta	NA	Myrtales	Onagraceae	Chamaenerion	Chamaenerion angustifolium	Chamaenerion angustifolium, 2, 100.000, Chamaenerion angustifolium, 3,  99.528, Chamaenerion angustifolium, 1,  98.585, Chamaenerion latifolium, 1,  98.585, Chamaenerion latifolium, 1,  98.113	1
0	43219	4891	0	30	0	10359	4894	0	0	61	179	8676	0	68	0	0	215	0	0	0	0	0	0	25	0	0	379	0	0	8414	28973	32886	0	0	9027	6283	481	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	16672	301	0	0	0	0	0	30	0	0	0	24971	0	0	0	0	0	0	0	0	0	101	0	0	0	0	39963	0	0	0	3801	590	0	7567	0	0	0	0	0	0	0	4557	0	0	0	7374	0	0	0	0	0	0	0	536	0	0	0	8771	151	18066	1573	0	0	0	0	0	0	0	0	0	0	0	767a17b8d5e6b921a62c1c3015919508defbcf28	100	Viridiplantae	Streptophyta	NA	Malpighiales	Salicaceae	Salix	ambiguous_Salix_sp	Salix caprea, 3, 100.000, Salix polaris, 3, 100.000, Salix raupii, 3, 100.000, Salix arctica, 2, 100.000, Salix phlebophylla, 2, 100.000, Salix aegyptiaca, 1, 100.000, Salix atrocinerea, 1, 100.000, Salix ballii, 1, 100.000, Salix brachycarpa, 1, 100.000, Salix cinerea, 1, 100.000, Salix firouzkuhensis, 1, 100.000, Salix herbacea, 1, 100.000, Salix hidakamontana, 1, 100.000, Salix kimurana, 1, 100.000, Salix kurilensis, 1, 100.000, Salix moupinensis, 1, 100.000, Salix myricoides, 1, 100.000, Salix myrtillifolia, 1, 100.000, Salix pedicellaris, 1, 100.000, Salix pierotii, 1, 100.000, Salix pycnostachya, 1, 100.000, Salix qinghaiensis, 1, 100.000, Salix raddeana, 1, 100.000, Salix rehderiana, 1, 100.000, Salix rhamnifolia, 1, 100.000, Salix songarica, 1, 100.000, Salix tschuktschorum, 1, 100.000, Salix tyrrellii, 1, 100.000, Salix raupii, 1,  99.524, Salix sp. TARI 83520, 1,  99.524	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e986ba054534ed51104563f3995a37316f608a31	95.283	Viridiplantae	Streptophyta	NA	Myrtales	Onagraceae	Chamaenerion	unmatched_Chamaenerion_sp	Chamaenerion angustifolium, 3, 95.755, Chamaenerion angustifolium, 1, 95.735, Chamaenerion latifolium, 1, 95.735, Chamaenerion angustifolium, 1, 95.305, Chamaenerion angustifolium, 2, 95.283, Chamaenerion latifolium, 3, 95.261, Chamerion conspersum, 1, 94.313, Chamerion conspersum, 1, 93.868, Epilobium cylindricum, 1, 93.868	1
0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	177	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	3be2e1f08251669920d6a03fa8d82f0ba6eba54c	98.678	Viridiplantae	Streptophyta	NA	Caryophyllales	Polygonaceae	Rumex	Rumex acetosa	Rumex acetosa, 1, 98.678, Rumex acetosa, 1, 98.673, Rumex papillaris, 1, 97.788	2
0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	39	0	246	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1054	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	94	0	0	0	26	0	0	0	0	0	0	0	0	452	0	1238	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	0	0	f0432293f2f02f2fcaccb5e056eb7b045d2288fb	100	Viridiplantae	Streptophyta	NA	Caryophyllales	Polygonaceae	Rumex	Rumex acetosa	Rumex acetosa, 7, 100.000, Rumex acetosa, 1,  98.942	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338d454b7173e03733c86a6dc91a8ecb5d6628df	99.567	Viridiplantae	Streptophyta	NA	Pinales	Pinaceae	Larix	ambiguous_Larix_sp	Larix decidua, 5, 100.000, Larix gmelinii, 5, 100.000, Larix kaempferi, 4, 100.000, Larix sibirica, 4, 100.000, Larix sibirica, 5,  99.567, Larix gmelinii, 4,  99.567, Larix decidua, 2,  99.567, Larix kaempferi, 2,  99.567, Larix laricina, 1,  99.567, Larix sibirica, 5,  99.134, Larix gmelinii, 3,  99.134	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9d44b33593fff499a6ddc5581e2aad92092b10ad	99.554	Viridiplantae	Streptophyta	NA	Lamiales	Orobanchaceae	Rhinanthus	ambiguous_Rhinanthus_sp	Rhinanthus minor, 4, 99.554, Rhinanthus glacialis, 1, 99.554, Rhinanthus major, 1, 99.554, Rhinanthus serotinus, 1, 99.554, Rhinanthus sp. Gaudeul 29, 1, 99.554, Rhinanthus minor, 2, 99.107, Rhinanthus crista-galli, 1, 99.107, Rhinanthus rumelicus, 1, 99.107, Rhinanthus minor, 1, 98.661	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	23	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61745c31bca087bb9cb230bfdb8464a51e98b546	98.529	Viridiplantae	Streptophyta	NA	Fagales	Fagaceae	Quercus	Quercus petraea	Quercus petraea, 1, 99.020, Quercus petraea, 1, 98.529, Quercus pubescens, 1, 97.059, Quercus pyrenaica, 1, 97.059	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cabbc522ff281608f988c90558d94eb53dfd6dba	100	Viridiplantae	Streptophyta	NA	Caryophyllales	Caryophyllaceae	Stellaria	Stellaria alsine	Stellaria alsine, 6, 100	1
