"Site_nr" "utm_x" "utm_y" "rareSpsE" "rareSpsSSE" "rareSpsW"
"1" 1 581439.69 6388139.47 NA NA 1
"2" 2 564449.3 6383379.45 NA NA 1
"3" 3 583804.52 6390025.19 NA NA 2
"4" 4 555479.38 6375310.31 NA NA NA
"5" 5 552708.44 6375363.04 NA NA NA
"6" 6 564599.65 6382577.45 NA NA NA
"7" 7 563198.46 6383593.72 1 NA NA
"8" 8 583990.12 6389854.31 NA NA NA
"9" 9 574170.34 6384472.73 NA NA NA
"10" 10 479149.59 6330450.88 NA NA NA
"11" 11 497046.4 6333482 NA NA 1
"12" 12 473347.36 6321636.52 NA NA 1
"13" 13 495752.92 6323436.49 NA NA NA
"14" 14 480429.24 6330041.18 NA NA NA
"15" 15 478318.42 6324607.29 NA NA 1
"16" 16 494961.69 6323036.61 NA NA NA
"17" 17 494653.15 6322391.79 NA NA NA
"18" 18 492404.99 6322387.73 NA NA 1
"19" 19 552575.8 6301441.4 1 NA NA
"20" 20 551027.73 6297142.84 NA NA NA
"21" 21 556187.31 6305594.48 NA 1 NA
"22" 22 574000.44 6311083.17 1 NA NA
"23" 23 574846.28 6310504.06 2 NA NA
"24" 24 548845.8 6298055.85 1 1 NA
"25" 25 550046.75 6299092.95 1 NA NA
"26" 26 551953.55 6296984.85 NA NA NA
"27" 27 446100.59 6241311.1 NA NA NA
"28" 28 461377.1 6224901.35 NA NA 2
"29" 29 450191.29 6239197.91 NA NA NA
"30" 30 469508.51 6233883.66 NA NA 1
"31" 31 462049.39 6224867.18 NA NA NA
"32" 32 461030.9 6225250.05 1 NA 1
"33" 33 448188.69 6241791.55 NA NA NA
"34" 34 446447.59 6231765.31 NA NA NA
"35" 35 468638.9 6233491.8 NA NA NA
"36" 36 448267.08 6186361.71 NA NA NA
"37" 37 448740.91 6181178.73 NA NA 2
"38" 38 452315.55 6170040.1 1 NA NA
"39" 39 449133.01 6172345.92 NA NA NA
"40" 40 450646.5 6183553.05 NA NA NA
"41" 41 441992.95 6157820.4 1 NA NA
"42" 42 447793.59 6171266.16 NA NA 1
"43" 43 450717.4 6169922.5 NA NA NA
"44" 44 493481.4 6110733.35 NA NA NA
"45" 45 495874 6114066.95 NA NA 3
"46" 46 497379.95 6096050.55 NA 2 NA
"47" 47 496881.6 6117838.2 1 NA 1
"48" 48 503771.2 6127398.65 NA NA NA
"49" 49 498339.14 6096492.48 3 1 NA
"50" 50 499012.4 6096769 NA NA NA
"51" 51 504292.12 6127347.77 2 NA NA
"52" 52 496807.52 6115355.54 NA NA NA
"53" 53 595013.75 6228997 1 NA 1
"54" 54 591617.02 6239514.66 NA NA NA
"55" 55 614407.9 6240839.9 3 2 NA
"56" 56 591097.8 6239030.9 2 NA NA
"57" 57 594494.37 6230172.69 1 NA NA
"58" 58 595137.66 6218270.93 5 1 NA
"59" 59 594188 6217924.05 NA NA NA
"60" 60 598417.95 6231974.35 1 NA NA
"61" 61 596888.16 6232144.41 NA NA 1
"62" 62 525828.64 6215684.77 NA NA NA
"63" 63 522323.75 6217640.95 NA NA 1
"64" 64 543873.29 6212230.28 NA NA NA
"65" 65 524781.2 6215997.75 NA NA 1
"66" 66 545567.8 6213415.2 1 NA NA
"67" 67 539736.64 6214621.89 NA NA NA
"68" 68 538526.85 6224867.7 NA NA 2
"69" 69 532798.41 6221133.87 1 NA NA
"70" 70 530848.53 6220233.76 NA NA NA
"71" 71 553505.84 6170325.95 3 1 NA
"72" 72 545922.55 6172032.95 2 NA NA
"73" 73 543417.54 6162940.77 NA NA NA
"74" 74 543670.7 6162514.8 NA NA NA
"75" 75 534311.5 6169168.55 NA NA NA
"76" 76 553915.8 6171232.85 1 NA NA
"77" 77 554670.4 6171804.7 1 NA NA
"78" 78 547298.65 6171972.35 1 NA NA
"79" 79 686535.4 6212641.05 NA NA 1
"80" 80 686452.49 6212178.25 NA NA 1
"81" 81 704258.1 6206120 1 1 NA
"82" 82 704170.2 6207380.8 NA NA NA
"83" 83 706779.85 6211031.45 NA NA NA
"84" 84 705403.38 6209260.54 NA NA NA
"85" 85 693212.76 6212931.12 NA NA 1
"86" 86 691428.45 6215259.4 NA NA NA
"87" 87 702774.4 6209432.3 1 NA NA
"88" 88 652602.86 6189461.85 4 NA NA
"89" 89 643345.35 6179060.39 1 1 1
"90" 90 642880.93 6178095.34 NA NA 1
"91" 91 638344.24 6175468.45 1 NA 1
"92" 92 640495.14 6175364.01 NA NA 1
"93" 93 651753.42 6190535.86 NA NA NA
"94" 94 618893.55 6178182.04 9 2 NA
"95" 95 619111.64 6178860.67 1 NA NA
"96" 96 675263.8 6155726.35 NA 1 NA
"97" 97 661990.47 6140046.84 NA NA NA
"98" 98 664333.86 6140552.9 1 NA NA
"99" 99 681899.67 6161530.41 1 NA NA
"100" 100 681901.6 6160066.75 1 NA NA
"101" 101 661357.55 6139741.49 1 NA NA
"102" 102 660681.65 6140028 NA NA NA
"103" 103 660836.74 6132877.63 NA NA NA
"104" 104 664168.2 6142265.6 1 1 NA
"105" 105 579564.46 6109181.42 1 NA NA
"106" 106 579488.7 6109957.7 1 NA 1
"107" 107 579910.1 6110351.9 1 NA NA
"108" 108 583997.05 6109030.25 NA NA NA
"109" 109 595692.64 6107075.18 NA NA NA
"110" 110 587284.7 6110023.2 NA NA 1
"111" 111 587265.05 6110673.05 NA NA 2
"112" 112 592504.2 6112615.35 NA NA 1
"113" 113 680392.01 6073973.93 2 NA NA
"114" 114 680771.25 6074624 3 2 NA
"115" 115 660056 6070319.7 NA NA NA
"116" 116 663386.35 6067126 NA NA NA
"117" 117 664394.33 6070179.74 NA NA NA
"118" 118 664220.53 6069485.41 1 NA NA
"119" 119 670416.15 6066245.09 1 NA NA
"120" 120 667308.25 6069259.5 NA NA NA
"121" 121 726445.76 6098351.09 3 1 NA
"122" 122 708858.69 6105766.04 NA NA 1
"123" 123 708942.2 6104123.36 NA NA NA
"124" 124 720914.89 6096628.58 NA NA NA
"125" 125 721199.1 6095874.45 NA NA NA
"126" 126 724661.43 6096492.24 10 1 NA
"127" 127 726525.02 6096761.69 2 NA NA
"128" 128 725619.9 6098927.95 4 3 NA
"129" 129 710898.02 6102471.64 NA NA NA
